sic,ff48_ind
0214,Agriculture
0215,Agriculture
0216,Agriculture
0217,Agriculture
0218,Agriculture
0219,Agriculture
0220,Agriculture
0221,Agriculture
0222,Agriculture
0223,Agriculture
0224,Agriculture
0225,Agriculture
0226,Agriculture
0227,Agriculture
0228,Agriculture
0229,Agriculture
0230,Agriculture
0231,Agriculture
0232,Agriculture
0233,Agriculture
0234,Agriculture
0235,Agriculture
0236,Agriculture
0237,Agriculture
0238,Agriculture
0239,Agriculture
0240,Agriculture
0241,Agriculture
0242,Agriculture
0243,Agriculture
0244,Agriculture
0245,Agriculture
0246,Agriculture
0247,Agriculture
0248,Agriculture
0249,Agriculture
0250,Agriculture
0251,Agriculture
0252,Agriculture
0253,Agriculture
0254,Agriculture
0255,Agriculture
0256,Agriculture
0257,Agriculture
0258,Agriculture
0259,Agriculture
0260,Agriculture
0261,Agriculture
0262,Agriculture
0263,Agriculture
0264,Agriculture
0265,Agriculture
0266,Agriculture
0267,Agriculture
0268,Agriculture
0269,Agriculture
0270,Agriculture
0271,Agriculture
0272,Agriculture
0273,Agriculture
0274,Agriculture
0275,Agriculture
0276,Agriculture
0277,Agriculture
0278,Agriculture
0279,Agriculture
0280,Agriculture
0281,Agriculture
0282,Agriculture
0283,Agriculture
0284,Agriculture
0285,Agriculture
0286,Agriculture
0287,Agriculture
0288,Agriculture
0289,Agriculture
0290,Agriculture
0291,Agriculture
0292,Agriculture
0293,Agriculture
0294,Agriculture
0295,Agriculture
0296,Agriculture
0297,Agriculture
0298,Agriculture
0299,Agriculture
0700,Agriculture
0701,Agriculture
0702,Agriculture
0703,Agriculture
0704,Agriculture
0705,Agriculture
0706,Agriculture
0707,Agriculture
0708,Agriculture
0709,Agriculture
0710,Agriculture
0711,Agriculture
0712,Agriculture
0713,Agriculture
0714,Agriculture
0715,Agriculture
0716,Agriculture
0717,Agriculture
0718,Agriculture
0719,Agriculture
0720,Agriculture
0721,Agriculture
0722,Agriculture
0723,Agriculture
0724,Agriculture
0725,Agriculture
0726,Agriculture
0727,Agriculture
0728,Agriculture
0729,Agriculture
0730,Agriculture
0731,Agriculture
0732,Agriculture
0733,Agriculture
0734,Agriculture
0735,Agriculture
0736,Agriculture
0737,Agriculture
0738,Agriculture
0739,Agriculture
0740,Agriculture
0741,Agriculture
0742,Agriculture
0743,Agriculture
0744,Agriculture
0745,Agriculture
0746,Agriculture
0747,Agriculture
0748,Agriculture
0749,Agriculture
0750,Agriculture
0751,Agriculture
0752,Agriculture
0753,Agriculture
0754,Agriculture
0755,Agriculture
0756,Agriculture
0757,Agriculture
0758,Agriculture
0759,Agriculture
0760,Agriculture
0761,Agriculture
0762,Agriculture
0763,Agriculture
0764,Agriculture
0765,Agriculture
0766,Agriculture
0767,Agriculture
0768,Agriculture
0769,Agriculture
0770,Agriculture
0771,Agriculture
0772,Agriculture
0773,Agriculture
0774,Agriculture
0775,Agriculture
0776,Agriculture
0777,Agriculture
0778,Agriculture
0779,Agriculture
0780,Agriculture
0781,Agriculture
0782,Agriculture
0783,Agriculture
0784,Agriculture
0785,Agriculture
0786,Agriculture
0787,Agriculture
0788,Agriculture
0789,Agriculture
0790,Agriculture
0791,Agriculture
0792,Agriculture
0793,Agriculture
0794,Agriculture
0795,Agriculture
0796,Agriculture
0797,Agriculture
0798,Agriculture
0799,Agriculture
0800,Construction Materials
0801,Construction Materials
0802,Construction Materials
0803,Construction Materials
0804,Construction Materials
0805,Construction Materials
0806,Construction Materials
0807,Construction Materials
0808,Construction Materials
0809,Construction Materials
0810,Construction Materials
0811,Construction Materials
0812,Construction Materials
0813,Construction Materials
0814,Construction Materials
0815,Construction Materials
0816,Construction Materials
0817,Construction Materials
0818,Construction Materials
0819,Construction Materials
0820,Construction Materials
0821,Construction Materials
0822,Construction Materials
0823,Construction Materials
0824,Construction Materials
0825,Construction Materials
0826,Construction Materials
0827,Construction Materials
0828,Construction Materials
0829,Construction Materials
0830,Construction Materials
0831,Construction Materials
0832,Construction Materials
0833,Construction Materials
0834,Construction Materials
0835,Construction Materials
0836,Construction Materials
0837,Construction Materials
0838,Construction Materials
0839,Construction Materials
0840,Construction Materials
0841,Construction Materials
0842,Construction Materials
0843,Construction Materials
0844,Construction Materials
0845,Construction Materials
0846,Construction Materials
0847,Construction Materials
0848,Construction Materials
0849,Construction Materials
0850,Construction Materials
0851,Construction Materials
0852,Construction Materials
0853,Construction Materials
0854,Construction Materials
0855,Construction Materials
0856,Construction Materials
0857,Construction Materials
0858,Construction Materials
0859,Construction Materials
0860,Construction Materials
0861,Construction Materials
0862,Construction Materials
0863,Construction Materials
0864,Construction Materials
0865,Construction Materials
0866,Construction Materials
0867,Construction Materials
0868,Construction Materials
0869,Construction Materials
0870,Construction Materials
0871,Construction Materials
0872,Construction Materials
0873,Construction Materials
0874,Construction Materials
0875,Construction Materials
0876,Construction Materials
0877,Construction Materials
0878,Construction Materials
0879,Construction Materials
0880,Construction Materials
0881,Construction Materials
0882,Construction Materials
0883,Construction Materials
0884,Construction Materials
0885,Construction Materials
0886,Construction Materials
0887,Construction Materials
0888,Construction Materials
0889,Construction Materials
0890,Construction Materials
0891,Construction Materials
0892,Construction Materials
0893,Construction Materials
0894,Construction Materials
0895,Construction Materials
0896,Construction Materials
0897,Construction Materials
0898,Construction Materials
0899,Construction Materials
0910,Agriculture
0911,Agriculture
0912,Agriculture
0913,Agriculture
0914,Agriculture
0915,Agriculture
0916,Agriculture
0917,Agriculture
0918,Agriculture
0919,Agriculture
0920,Recreation
0921,Recreation
0922,Recreation
0923,Recreation
0924,Recreation
0925,Recreation
0926,Recreation
0927,Recreation
0928,Recreation
0929,Recreation
0930,Recreation
0931,Recreation
0932,Recreation
0933,Recreation
0934,Recreation
0935,Recreation
0936,Recreation
0937,Recreation
0938,Recreation
0939,Recreation
0940,Recreation
0941,Recreation
0942,Recreation
0943,Recreation
0944,Recreation
0945,Recreation
0946,Recreation
0947,Recreation
0948,Recreation
0949,Recreation
0950,Recreation
0951,Recreation
0952,Recreation
0953,Recreation
0954,Recreation
0955,Recreation
0956,Recreation
0957,Recreation
0958,Recreation
0959,Recreation
0960,Recreation
0961,Recreation
0962,Recreation
0963,Recreation
0964,Recreation
0965,Recreation
0966,Recreation
0967,Recreation
0968,Recreation
0969,Recreation
0970,Recreation
0971,Recreation
0972,Recreation
0973,Recreation
0974,Recreation
0975,Recreation
0976,Recreation
0977,Recreation
0978,Recreation
0979,Recreation
0980,Recreation
0981,Recreation
0982,Recreation
0983,Recreation
0984,Recreation
0985,Recreation
0986,Recreation
0987,Recreation
0988,Recreation
0989,Recreation
0990,Recreation
0991,Recreation
0992,Recreation
0993,Recreation
0994,Recreation
0995,Recreation
0996,Recreation
0997,Recreation
0998,Recreation
0999,Recreation
1000,Non-Metallic and Industrial Metal Mining
1001,Non-Metallic and Industrial Metal Mining
1002,Non-Metallic and Industrial Metal Mining
1003,Non-Metallic and Industrial Metal Mining
1004,Non-Metallic and Industrial Metal Mining
1005,Non-Metallic and Industrial Metal Mining
1006,Non-Metallic and Industrial Metal Mining
1007,Non-Metallic and Industrial Metal Mining
1008,Non-Metallic and Industrial Metal Mining
1009,Non-Metallic and Industrial Metal Mining
1010,Non-Metallic and Industrial Metal Mining
1011,Non-Metallic and Industrial Metal Mining
1012,Non-Metallic and Industrial Metal Mining
1013,Non-Metallic and Industrial Metal Mining
1014,Non-Metallic and Industrial Metal Mining
1015,Non-Metallic and Industrial Metal Mining
1016,Non-Metallic and Industrial Metal Mining
1017,Non-Metallic and Industrial Metal Mining
1018,Non-Metallic and Industrial Metal Mining
1019,Non-Metallic and Industrial Metal Mining
1020,Non-Metallic and Industrial Metal Mining
1021,Non-Metallic and Industrial Metal Mining
1022,Non-Metallic and Industrial Metal Mining
1023,Non-Metallic and Industrial Metal Mining
1024,Non-Metallic and Industrial Metal Mining
1025,Non-Metallic and Industrial Metal Mining
1026,Non-Metallic and Industrial Metal Mining
1027,Non-Metallic and Industrial Metal Mining
1028,Non-Metallic and Industrial Metal Mining
1029,Non-Metallic and Industrial Metal Mining
1030,Non-Metallic and Industrial Metal Mining
1031,Non-Metallic and Industrial Metal Mining
1032,Non-Metallic and Industrial Metal Mining
1033,Non-Metallic and Industrial Metal Mining
1034,Non-Metallic and Industrial Metal Mining
1035,Non-Metallic and Industrial Metal Mining
1036,Non-Metallic and Industrial Metal Mining
1037,Non-Metallic and Industrial Metal Mining
1038,Non-Metallic and Industrial Metal Mining
1039,Non-Metallic and Industrial Metal Mining
1040,Precious Metals
1041,Precious Metals
1042,Precious Metals
1043,Precious Metals
1044,Precious Metals
1045,Precious Metals
1046,Precious Metals
1047,Precious Metals
1048,Precious Metals
1049,Precious Metals
1050,Non-Metallic and Industrial Metal Mining
1051,Non-Metallic and Industrial Metal Mining
1052,Non-Metallic and Industrial Metal Mining
1053,Non-Metallic and Industrial Metal Mining
1054,Non-Metallic and Industrial Metal Mining
1055,Non-Metallic and Industrial Metal Mining
1056,Non-Metallic and Industrial Metal Mining
1057,Non-Metallic and Industrial Metal Mining
1058,Non-Metallic and Industrial Metal Mining
1059,Non-Metallic and Industrial Metal Mining
1060,Non-Metallic and Industrial Metal Mining
1061,Non-Metallic and Industrial Metal Mining
1062,Non-Metallic and Industrial Metal Mining
1063,Non-Metallic and Industrial Metal Mining
1064,Non-Metallic and Industrial Metal Mining
1065,Non-Metallic and Industrial Metal Mining
1066,Non-Metallic and Industrial Metal Mining
1067,Non-Metallic and Industrial Metal Mining
1068,Non-Metallic and Industrial Metal Mining
1069,Non-Metallic and Industrial Metal Mining
1070,Non-Metallic and Industrial Metal Mining
1071,Non-Metallic and Industrial Metal Mining
1072,Non-Metallic and Industrial Metal Mining
1073,Non-Metallic and Industrial Metal Mining
1074,Non-Metallic and Industrial Metal Mining
1075,Non-Metallic and Industrial Metal Mining
1076,Non-Metallic and Industrial Metal Mining
1077,Non-Metallic and Industrial Metal Mining
1078,Non-Metallic and Industrial Metal Mining
1079,Non-Metallic and Industrial Metal Mining
1080,Non-Metallic and Industrial Metal Mining
1081,Non-Metallic and Industrial Metal Mining
1082,Non-Metallic and Industrial Metal Mining
1083,Non-Metallic and Industrial Metal Mining
1084,Non-Metallic and Industrial Metal Mining
1085,Non-Metallic and Industrial Metal Mining
1086,Non-Metallic and Industrial Metal Mining
1087,Non-Metallic and Industrial Metal Mining
1088,Non-Metallic and Industrial Metal Mining
1089,Non-Metallic and Industrial Metal Mining
1090,Non-Metallic and Industrial Metal Mining
1091,Non-Metallic and Industrial Metal Mining
1092,Non-Metallic and Industrial Metal Mining
1093,Non-Metallic and Industrial Metal Mining
1094,Non-Metallic and Industrial Metal Mining
1095,Non-Metallic and Industrial Metal Mining
1096,Non-Metallic and Industrial Metal Mining
1097,Non-Metallic and Industrial Metal Mining
1098,Non-Metallic and Industrial Metal Mining
1099,Non-Metallic and Industrial Metal Mining
1100,Non-Metallic and Industrial Metal Mining
1101,Non-Metallic and Industrial Metal Mining
1102,Non-Metallic and Industrial Metal Mining
1103,Non-Metallic and Industrial Metal Mining
1104,Non-Metallic and Industrial Metal Mining
1105,Non-Metallic and Industrial Metal Mining
1106,Non-Metallic and Industrial Metal Mining
1107,Non-Metallic and Industrial Metal Mining
1108,Non-Metallic and Industrial Metal Mining
1109,Non-Metallic and Industrial Metal Mining
1110,Non-Metallic and Industrial Metal Mining
1111,Non-Metallic and Industrial Metal Mining
1112,Non-Metallic and Industrial Metal Mining
1113,Non-Metallic and Industrial Metal Mining
1114,Non-Metallic and Industrial Metal Mining
1115,Non-Metallic and Industrial Metal Mining
1116,Non-Metallic and Industrial Metal Mining
1117,Non-Metallic and Industrial Metal Mining
1118,Non-Metallic and Industrial Metal Mining
1119,Non-Metallic and Industrial Metal Mining
1200,Coal
1201,Coal
1202,Coal
1203,Coal
1204,Coal
1205,Coal
1206,Coal
1207,Coal
1208,Coal
1209,Coal
1210,Coal
1211,Coal
1212,Coal
1213,Coal
1214,Coal
1215,Coal
1216,Coal
1217,Coal
1218,Coal
1219,Coal
1220,Coal
1221,Coal
1222,Coal
1223,Coal
1224,Coal
1225,Coal
1226,Coal
1227,Coal
1228,Coal
1229,Coal
1230,Coal
1231,Coal
1232,Coal
1233,Coal
1234,Coal
1235,Coal
1236,Coal
1237,Coal
1238,Coal
1239,Coal
1240,Coal
1241,Coal
1242,Coal
1243,Coal
1244,Coal
1245,Coal
1246,Coal
1247,Coal
1248,Coal
1249,Coal
1250,Coal
1251,Coal
1252,Coal
1253,Coal
1254,Coal
1255,Coal
1256,Coal
1257,Coal
1258,Coal
1259,Coal
1260,Coal
1261,Coal
1262,Coal
1263,Coal
1264,Coal
1265,Coal
1266,Coal
1267,Coal
1268,Coal
1269,Coal
1270,Coal
1271,Coal
1272,Coal
1273,Coal
1274,Coal
1275,Coal
1276,Coal
1277,Coal
1278,Coal
1279,Coal
1280,Coal
1281,Coal
1282,Coal
1283,Coal
1284,Coal
1285,Coal
1286,Coal
1287,Coal
1288,Coal
1289,Coal
1290,Coal
1291,Coal
1292,Coal
1293,Coal
1294,Coal
1295,Coal
1296,Coal
1297,Coal
1298,Coal
1299,Coal
1300,Petroleum and Natural Gas
1310,Petroleum and Natural Gas
1311,Petroleum and Natural Gas
1312,Petroleum and Natural Gas
1313,Petroleum and Natural Gas
1314,Petroleum and Natural Gas
1315,Petroleum and Natural Gas
1316,Petroleum and Natural Gas
1317,Petroleum and Natural Gas
1318,Petroleum and Natural Gas
1319,Petroleum and Natural Gas
1320,Petroleum and Natural Gas
1321,Petroleum and Natural Gas
1322,Petroleum and Natural Gas
1323,Petroleum and Natural Gas
1324,Petroleum and Natural Gas
1325,Petroleum and Natural Gas
1326,Petroleum and Natural Gas
1327,Petroleum and Natural Gas
1328,Petroleum and Natural Gas
1329,Petroleum and Natural Gas
1330,Petroleum and Natural Gas
1331,Petroleum and Natural Gas
1332,Petroleum and Natural Gas
1333,Petroleum and Natural Gas
1334,Petroleum and Natural Gas
1335,Petroleum and Natural Gas
1336,Petroleum and Natural Gas
1337,Petroleum and Natural Gas
1338,Petroleum and Natural Gas
1339,Petroleum and Natural Gas
1370,Petroleum and Natural Gas
1371,Petroleum and Natural Gas
1372,Petroleum and Natural Gas
1373,Petroleum and Natural Gas
1374,Petroleum and Natural Gas
1375,Petroleum and Natural Gas
1376,Petroleum and Natural Gas
1377,Petroleum and Natural Gas
1378,Petroleum and Natural Gas
1379,Petroleum and Natural Gas
1380,Petroleum and Natural Gas
1381,Petroleum and Natural Gas
1382,Petroleum and Natural Gas
1389,Petroleum and Natural Gas
1400,Non-Metallic and Industrial Metal Mining
1401,Non-Metallic and Industrial Metal Mining
1402,Non-Metallic and Industrial Metal Mining
1403,Non-Metallic and Industrial Metal Mining
1404,Non-Metallic and Industrial Metal Mining
1405,Non-Metallic and Industrial Metal Mining
1406,Non-Metallic and Industrial Metal Mining
1407,Non-Metallic and Industrial Metal Mining
1408,Non-Metallic and Industrial Metal Mining
1409,Non-Metallic and Industrial Metal Mining
1410,Non-Metallic and Industrial Metal Mining
1411,Non-Metallic and Industrial Metal Mining
1412,Non-Metallic and Industrial Metal Mining
1413,Non-Metallic and Industrial Metal Mining
1414,Non-Metallic and Industrial Metal Mining
1415,Non-Metallic and Industrial Metal Mining
1416,Non-Metallic and Industrial Metal Mining
1417,Non-Metallic and Industrial Metal Mining
1418,Non-Metallic and Industrial Metal Mining
1419,Non-Metallic and Industrial Metal Mining
1420,Non-Metallic and Industrial Metal Mining
1421,Non-Metallic and Industrial Metal Mining
1422,Non-Metallic and Industrial Metal Mining
1423,Non-Metallic and Industrial Metal Mining
1424,Non-Metallic and Industrial Metal Mining
1425,Non-Metallic and Industrial Metal Mining
1426,Non-Metallic and Industrial Metal Mining
1427,Non-Metallic and Industrial Metal Mining
1428,Non-Metallic and Industrial Metal Mining
1429,Non-Metallic and Industrial Metal Mining
1430,Non-Metallic and Industrial Metal Mining
1431,Non-Metallic and Industrial Metal Mining
1432,Non-Metallic and Industrial Metal Mining
1433,Non-Metallic and Industrial Metal Mining
1434,Non-Metallic and Industrial Metal Mining
1435,Non-Metallic and Industrial Metal Mining
1436,Non-Metallic and Industrial Metal Mining
1437,Non-Metallic and Industrial Metal Mining
1438,Non-Metallic and Industrial Metal Mining
1439,Non-Metallic and Industrial Metal Mining
1440,Non-Metallic and Industrial Metal Mining
1441,Non-Metallic and Industrial Metal Mining
1442,Non-Metallic and Industrial Metal Mining
1443,Non-Metallic and Industrial Metal Mining
1444,Non-Metallic and Industrial Metal Mining
1445,Non-Metallic and Industrial Metal Mining
1446,Non-Metallic and Industrial Metal Mining
1447,Non-Metallic and Industrial Metal Mining
1448,Non-Metallic and Industrial Metal Mining
1449,Non-Metallic and Industrial Metal Mining
1450,Non-Metallic and Industrial Metal Mining
1451,Non-Metallic and Industrial Metal Mining
1452,Non-Metallic and Industrial Metal Mining
1453,Non-Metallic and Industrial Metal Mining
1454,Non-Metallic and Industrial Metal Mining
1455,Non-Metallic and Industrial Metal Mining
1456,Non-Metallic and Industrial Metal Mining
1457,Non-Metallic and Industrial Metal Mining
1458,Non-Metallic and Industrial Metal Mining
1459,Non-Metallic and Industrial Metal Mining
1460,Non-Metallic and Industrial Metal Mining
1461,Non-Metallic and Industrial Metal Mining
1462,Non-Metallic and Industrial Metal Mining
1463,Non-Metallic and Industrial Metal Mining
1464,Non-Metallic and Industrial Metal Mining
1465,Non-Metallic and Industrial Metal Mining
1466,Non-Metallic and Industrial Metal Mining
1467,Non-Metallic and Industrial Metal Mining
1468,Non-Metallic and Industrial Metal Mining
1469,Non-Metallic and Industrial Metal Mining
1470,Non-Metallic and Industrial Metal Mining
1471,Non-Metallic and Industrial Metal Mining
1472,Non-Metallic and Industrial Metal Mining
1473,Non-Metallic and Industrial Metal Mining
1474,Non-Metallic and Industrial Metal Mining
1475,Non-Metallic and Industrial Metal Mining
1476,Non-Metallic and Industrial Metal Mining
1477,Non-Metallic and Industrial Metal Mining
1478,Non-Metallic and Industrial Metal Mining
1479,Non-Metallic and Industrial Metal Mining
1480,Non-Metallic and Industrial Metal Mining
1481,Non-Metallic and Industrial Metal Mining
1482,Non-Metallic and Industrial Metal Mining
1483,Non-Metallic and Industrial Metal Mining
1484,Non-Metallic and Industrial Metal Mining
1485,Non-Metallic and Industrial Metal Mining
1486,Non-Metallic and Industrial Metal Mining
1487,Non-Metallic and Industrial Metal Mining
1488,Non-Metallic and Industrial Metal Mining
1489,Non-Metallic and Industrial Metal Mining
1490,Non-Metallic and Industrial Metal Mining
1491,Non-Metallic and Industrial Metal Mining
1492,Non-Metallic and Industrial Metal Mining
1493,Non-Metallic and Industrial Metal Mining
1494,Non-Metallic and Industrial Metal Mining
1495,Non-Metallic and Industrial Metal Mining
1496,Non-Metallic and Industrial Metal Mining
1497,Non-Metallic and Industrial Metal Mining
1498,Non-Metallic and Industrial Metal Mining
1499,Non-Metallic and Industrial Metal Mining
1500,Construction
1501,Construction
1502,Construction
1503,Construction
1504,Construction
1505,Construction
1506,Construction
1507,Construction
1508,Construction
1509,Construction
1510,Construction
1511,Construction
1520,Construction
1521,Construction
1522,Construction
1523,Construction
1524,Construction
1525,Construction
1526,Construction
1527,Construction
1528,Construction
1529,Construction
1530,Construction
1531,Construction
1532,Construction
1533,Construction
1534,Construction
1535,Construction
1536,Construction
1537,Construction
1538,Construction
1539,Construction
1540,Construction
1541,Construction
1542,Construction
1543,Construction
1544,Construction
1545,Construction
1546,Construction
1547,Construction
1548,Construction
1549,Construction
1600,Construction
1601,Construction
1602,Construction
1603,Construction
1604,Construction
1605,Construction
1606,Construction
1607,Construction
1608,Construction
1609,Construction
1610,Construction
1611,Construction
1612,Construction
1613,Construction
1614,Construction
1615,Construction
1616,Construction
1617,Construction
1618,Construction
1619,Construction
1620,Construction
1621,Construction
1622,Construction
1623,Construction
1624,Construction
1625,Construction
1626,Construction
1627,Construction
1628,Construction
1629,Construction
1630,Construction
1631,Construction
1632,Construction
1633,Construction
1634,Construction
1635,Construction
1636,Construction
1637,Construction
1638,Construction
1639,Construction
1640,Construction
1641,Construction
1642,Construction
1643,Construction
1644,Construction
1645,Construction
1646,Construction
1647,Construction
1648,Construction
1649,Construction
1650,Construction
1651,Construction
1652,Construction
1653,Construction
1654,Construction
1655,Construction
1656,Construction
1657,Construction
1658,Construction
1659,Construction
1660,Construction
1661,Construction
1662,Construction
1663,Construction
1664,Construction
1665,Construction
1666,Construction
1667,Construction
1668,Construction
1669,Construction
1670,Construction
1671,Construction
1672,Construction
1673,Construction
1674,Construction
1675,Construction
1676,Construction
1677,Construction
1678,Construction
1679,Construction
1680,Construction
1681,Construction
1682,Construction
1683,Construction
1684,Construction
1685,Construction
1686,Construction
1687,Construction
1688,Construction
1689,Construction
1690,Construction
1691,Construction
1692,Construction
1693,Construction
1694,Construction
1695,Construction
1696,Construction
1697,Construction
1698,Construction
1699,Construction
1700,Construction
1701,Construction
1702,Construction
1703,Construction
1704,Construction
1705,Construction
1706,Construction
1707,Construction
1708,Construction
1709,Construction
1710,Construction
1711,Construction
1712,Construction
1713,Construction
1714,Construction
1715,Construction
1716,Construction
1717,Construction
1718,Construction
1719,Construction
1720,Construction
1721,Construction
1722,Construction
1723,Construction
1724,Construction
1725,Construction
1726,Construction
1727,Construction
1728,Construction
1729,Construction
1730,Construction
1731,Construction
1732,Construction
1733,Construction
1734,Construction
1735,Construction
1736,Construction
1737,Construction
1738,Construction
1739,Construction
1740,Construction
1741,Construction
1742,Construction
1743,Construction
1744,Construction
1745,Construction
1746,Construction
1747,Construction
1748,Construction
1749,Construction
1750,Construction
1751,Construction
1752,Construction
1753,Construction
1754,Construction
1755,Construction
1756,Construction
1757,Construction
1758,Construction
1759,Construction
1760,Construction
1761,Construction
1762,Construction
1763,Construction
1764,Construction
1765,Construction
1766,Construction
1767,Construction
1768,Construction
1769,Construction
1770,Construction
1771,Construction
1772,Construction
1773,Construction
1774,Construction
1775,Construction
1776,Construction
1777,Construction
1778,Construction
1779,Construction
1780,Construction
1781,Construction
1782,Construction
1783,Construction
1784,Construction
1785,Construction
1786,Construction
1787,Construction
1788,Construction
1789,Construction
1790,Construction
1791,Construction
1792,Construction
1793,Construction
1794,Construction
1795,Construction
1796,Construction
1797,Construction
1798,Construction
1799,Construction
2000,Food Products
2001,Food Products
2002,Food Products
2003,Food Products
2004,Food Products
2005,Food Products
2006,Food Products
2007,Food Products
2008,Food Products
2009,Food Products
2010,Food Products
2011,Food Products
2012,Food Products
2013,Food Products
2014,Food Products
2015,Food Products
2016,Food Products
2017,Food Products
2018,Food Products
2019,Food Products
2020,Food Products
2021,Food Products
2022,Food Products
2023,Food Products
2024,Food Products
2025,Food Products
2026,Food Products
2027,Food Products
2028,Food Products
2029,Food Products
2030,Food Products
2031,Food Products
2032,Food Products
2033,Food Products
2034,Food Products
2035,Food Products
2036,Food Products
2037,Food Products
2038,Food Products
2039,Food Products
2040,Food Products
2041,Food Products
2042,Food Products
2043,Food Products
2044,Food Products
2045,Food Products
2046,Food Products
2047,Consumer Goods
2048,Agriculture
2050,Food Products
2051,Food Products
2052,Food Products
2053,Food Products
2054,Food Products
2055,Food Products
2056,Food Products
2057,Food Products
2058,Food Products
2059,Food Products
2060,Food Products
2061,Food Products
2062,Food Products
2063,Food Products
2064,Candy & Soda
2065,Candy & Soda
2066,Candy & Soda
2067,Candy & Soda
2068,Candy & Soda
2070,Food Products
2071,Food Products
2072,Food Products
2073,Food Products
2074,Food Products
2075,Food Products
2076,Food Products
2077,Food Products
2078,Food Products
2079,Food Products
2080,Beer & Liquor
2082,Beer & Liquor
2083,Beer & Liquor
2084,Beer & Liquor
2085,Beer & Liquor
2086,Candy & Soda
2087,Candy & Soda
2090,Food Products
2091,Food Products
2092,Food Products
2095,Food Products
2096,Candy & Soda
2097,Candy & Soda
2098,Food Products
2099,Food Products
2100,Tobacco Products
2101,Tobacco Products
2102,Tobacco Products
2103,Tobacco Products
2104,Tobacco Products
2105,Tobacco Products
2106,Tobacco Products
2107,Tobacco Products
2108,Tobacco Products
2109,Tobacco Products
2110,Tobacco Products
2111,Tobacco Products
2112,Tobacco Products
2113,Tobacco Products
2114,Tobacco Products
2115,Tobacco Products
2116,Tobacco Products
2117,Tobacco Products
2118,Tobacco Products
2119,Tobacco Products
2120,Tobacco Products
2121,Tobacco Products
2122,Tobacco Products
2123,Tobacco Products
2124,Tobacco Products
2125,Tobacco Products
2126,Tobacco Products
2127,Tobacco Products
2128,Tobacco Products
2129,Tobacco Products
2130,Tobacco Products
2131,Tobacco Products
2132,Tobacco Products
2133,Tobacco Products
2134,Tobacco Products
2135,Tobacco Products
2136,Tobacco Products
2137,Tobacco Products
2138,Tobacco Products
2139,Tobacco Products
2140,Tobacco Products
2141,Tobacco Products
2142,Tobacco Products
2143,Tobacco Products
2144,Tobacco Products
2145,Tobacco Products
2146,Tobacco Products
2147,Tobacco Products
2148,Tobacco Products
2149,Tobacco Products
2150,Tobacco Products
2151,Tobacco Products
2152,Tobacco Products
2153,Tobacco Products
2154,Tobacco Products
2155,Tobacco Products
2156,Tobacco Products
2157,Tobacco Products
2158,Tobacco Products
2159,Tobacco Products
2160,Tobacco Products
2161,Tobacco Products
2162,Tobacco Products
2163,Tobacco Products
2164,Tobacco Products
2165,Tobacco Products
2166,Tobacco Products
2167,Tobacco Products
2168,Tobacco Products
2169,Tobacco Products
2170,Tobacco Products
2171,Tobacco Products
2172,Tobacco Products
2173,Tobacco Products
2174,Tobacco Products
2175,Tobacco Products
2176,Tobacco Products
2177,Tobacco Products
2178,Tobacco Products
2179,Tobacco Products
2180,Tobacco Products
2181,Tobacco Products
2182,Tobacco Products
